date,PHU,ageGrp,population,doses
2021-07-27,LEEDS GRENVILLE AND LANARK DISTRICT,30-39yrs,16449,117
2021-07-27,MIDDLESEX-LONDON,30-39yrs,73436,680
2021-07-27,NIAGARA REGION,30-39yrs,54175,469
2021-07-27,NORTH BAY PARRY SOUND DISTRICT,30-39yrs,14543,61
2021-07-27,NORTHWESTERN,30-39yrs,9958,62
2021-07-27,PEEL REGION,30-39yrs,235513,1630
2021-07-27,PETERBOROUGH COUNTY-CITY,30-39yrs,18338,163
2021-07-27,PORCUPINE,30-39yrs,9754,40
2021-07-27,RENFREW COUNTY AND DISTRICT,30-39yrs,13489,31
2021-07-27,SIMCOE MUSKOKA DISTRICT,30-39yrs,74380,680
2021-07-27,SOUTHWESTERN,30-39yrs,24409,354
2021-07-27,SUDBURY AND DISTRICT,30-39yrs,24368,82
2021-07-27,THUNDER BAY DISTRICT,30-39yrs,18511,195
2021-07-27,TIMISKAMING,30-39yrs,3297,9
2021-07-27,TORONTO,30-39yrs,528595,2702
2021-07-27,WATERLOO REGION,30-39yrs,84990,801
2021-07-27,WELLINGTON-DUFFERIN-GUELPH,30-39yrs,42188,544
2021-07-27,WINDSOR-ESSEX COUNTY,30-39yrs,48477,234
2021-07-27,YORK REGION,30-39yrs,155115,820
2021-07-27,ALGOMA DISTRICT,40-49yrs,11665,58
2021-07-27,BRANT COUNTY,40-49yrs,18896,154
2021-07-27,CHATHAM-KENT,40-49yrs,11350,53
2021-07-27,CITY OF HAMILTON,40-49yrs,71673,571
2021-07-27,CITY OF OTTAWA,40-49yrs,134815,839
2021-07-27,DURHAM REGION,40-49yrs,93719,865
2021-07-27,EASTERN ONTARIO,40-49yrs,23559,206
2021-07-27,GREY BRUCE,40-49yrs,16555,120
2021-07-27,HALDIMAND-NORFOLK,40-49yrs,11715,83
2021-07-27,HALIBURTON KAWARTHA PINE RIDGE,40-49yrs,17924,144
2021-07-27,HALTON REGION,40-49yrs,88209,1166
2021-07-27,HASTINGS & PRINCE EDWARD COUNTIES,40-49yrs,17924,176
2021-07-27,HURON PERTH,40-49yrs,14709,312
2021-07-27,KINGSTON FRONTENAC LENNOX & ADDINGTON,40-49yrs,24416,134
2021-07-27,LAMBTON COUNTY,40-49yrs,13713,275
2021-07-27,LEEDS GRENVILLE AND LANARK DISTRICT,40-49yrs,18360,126
2021-07-27,MIDDLESEX-LONDON,40-49yrs,59863,512
2021-07-27,NIAGARA REGION,40-49yrs,52093,370
2021-07-27,NORTH BAY PARRY SOUND DISTRICT,40-49yrs,13844,75
2021-07-27,NORTHWESTERN,40-49yrs,9699,64
2021-07-27,PEEL REGION,40-49yrs,220945,1397
2021-07-27,PETERBOROUGH COUNTY-CITY,40-49yrs,14923,144
2021-07-27,PORCUPINE,40-49yrs,9835,46
2021-07-27,RENFREW COUNTY AND DISTRICT,40-49yrs,11851,27
2021-07-27,SIMCOE MUSKOKA DISTRICT,40-49yrs,72346,626
2021-07-27,SOUTHWESTERN,40-49yrs,25213,295
2021-07-27,SUDBURY AND DISTRICT,40-49yrs,23893,89
2021-07-27,THUNDER BAY DISTRICT,40-49yrs,17224,183
2021-07-27,TIMISKAMING,40-49yrs,3499,7
2021-07-27,TORONTO,40-49yrs,423307,1978
2021-07-27,WATERLOO REGION,40-49yrs,76587,638
2021-07-27,WELLINGTON-DUFFERIN-GUELPH,40-49yrs,38968,450
2021-07-27,WINDSOR-ESSEX COUNTY,40-49yrs,50811,207
2021-07-27,YORK REGION,40-49yrs,162480,872
2021-07-27,ALGOMA DISTRICT,50-59yrs,16446,82
2021-07-27,BRANT COUNTY,50-59yrs,21321,104
2021-07-27,CHATHAM-KENT,50-59yrs,15450,45
2021-07-27,CITY OF HAMILTON,50-59yrs,80704,585
2021-07-27,CITY OF OTTAWA,50-59yrs,139786,690
2021-07-27,DURHAM REGION,50-59yrs,104381,738
2021-07-27,EASTERN ONTARIO,50-59yrs,32885,230
2021-07-27,GREY BRUCE,50-59yrs,24279,139
2021-07-27,HALDIMAND-NORFOLK,50-59yrs,17361,108
2021-07-27,HALIBURTON KAWARTHA PINE RIDGE,50-59yrs,30845,218
2021-07-27,HALTON REGION,50-59yrs,85689,970
2021-07-27,HASTINGS & PRINCE EDWARD COUNTIES,50-59yrs,26066,270
2021-07-27,HURON PERTH,50-59yrs,19413,288
2021-07-27,KINGSTON FRONTENAC LENNOX & ADDINGTON,50-59yrs,29814,130
2021-07-27,LAMBTON COUNTY,50-59yrs,18136,223
2021-07-27,LEEDS GRENVILLE AND LANARK DISTRICT,50-59yrs,28235,110
2021-07-27,MIDDLESEX-LONDON,50-59yrs,66854,433
2021-07-27,NIAGARA REGION,50-59yrs,70296,440
2021-07-27,NORTH BAY PARRY SOUND DISTRICT,50-59yrs,20038,94
2021-07-27,NORTHWESTERN,50-59yrs,11842,63
2021-07-27,PEEL REGION,50-59yrs,217659,1102
2021-07-27,PETERBOROUGH COUNTY-CITY,50-59yrs,20821,154
2021-07-27,PORCUPINE,50-59yrs,11988,64
2021-07-27,RENFREW COUNTY AND DISTRICT,50-59yrs,15489,48
2021-07-27,SIMCOE MUSKOKA DISTRICT,50-59yrs,92219,691
2021-07-27,SOUTHWESTERN,50-59yrs,29933,316
2021-07-27,SUDBURY AND DISTRICT,50-59yrs,28981,97
2021-07-27,THUNDER BAY DISTRICT,50-59yrs,20955,192
2021-07-27,TIMISKAMING,50-59yrs,4828,7
2021-07-27,TORONTO,50-59yrs,394894,1878
2021-07-27,WATERLOO REGION,50-59yrs,78016,563
2021-07-27,WELLINGTON-DUFFERIN-GUELPH,50-59yrs,44023,379
2021-07-27,WINDSOR-ESSEX COUNTY,50-59yrs,60800,278
2021-07-27,YORK REGION,50-59yrs,180487,932
2021-07-27,ALGOMA DISTRICT,60-69yrs,18604,54
2021-07-27,BRANT COUNTY,60-69yrs,19812,99
2021-07-27,CHATHAM-KENT,60-69yrs,15770,88
2021-07-27,CITY OF HAMILTON,60-69yrs,72258,396
2021-07-27,CITY OF OTTAWA,60-69yrs,118913,410
2021-07-27,DURHAM REGION,60-69yrs,83972,476
2021-07-27,EASTERN ONTARIO,60-69yrs,31360,214
2021-07-27,GREY BRUCE,60-69yrs,27440,117
2021-07-27,HALDIMAND-NORFOLK,60-69yrs,18117,76
2021-07-27,HALIBURTON KAWARTHA PINE RIDGE,60-69yrs,32828,207
2021-07-27,HALTON REGION,60-69yrs,64619,386
2021-07-27,HASTINGS & PRINCE EDWARD COUNTIES,60-69yrs,26203,277
